nodeID,networkCanvasEgoUUID_x,networkCanvasUUID,name,user_layout_x,user_layout_y,user_layout_screenSpaceX,user_layout_screenSpaceY,session_id,networkCanvasEgoUUID_y,networkCanvasCaseID,networkCanvasSessionID,networkCanvasProtocolName,sessionStart,sessionFinish,sessionExported,APP_VERSION,COMMIT_HASH,secret_word,in_gcc
9,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,m3bCphZ8J2,technology,0.5119996519317787,0.6500429423643834,983.04,377.95,cmh2gexi60035sa27kedegg6s,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh2gexi60035sa27kedegg6s,FSDS_ConceptMap_v01.netcanvas,2025-10-22T20:36:52.638Z,2025-10-22T20:41:27.535Z,2025-10-24T12:35:48.004Z,v3.0.0,Unknown commit hash,porcupine,1.0
10,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,YfjJV5hkMD,truth,0.5376174730247129,0.4435481999025092,1032.23,600.97,cmh2gexi60035sa27kedegg6s,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh2gexi60035sa27kedegg6s,FSDS_ConceptMap_v01.netcanvas,2025-10-22T20:36:52.638Z,2025-10-22T20:41:27.535Z,2025-10-24T12:35:48.004Z,v3.0.0,Unknown commit hash,porcupine,1.0
11,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,RtJiUdZJi6,empirical data,0.6211538461538462,0.4435481999025092,1192.62,600.97,cmh2gexi60035sa27kedegg6s,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh2gexi60035sa27kedegg6s,FSDS_ConceptMap_v01.netcanvas,2025-10-22T20:36:52.638Z,2025-10-22T20:41:27.535Z,2025-10-24T12:35:48.004Z,v3.0.0,Unknown commit hash,porcupine,1.0
1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ZuysvCGddv,AI,0.4940430324225001,0.4412115701540035,948.56,603.49,cmh20rd26002dsa27jo124g0a,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh20rd26002dsa27jo124g0a,FSDS_ConceptMap_v01.netcanvas,2025-10-22T13:18:38.814Z,2025-10-22T13:21:10.341Z,2025-10-24T12:36:28.566Z,v3.0.0,Unknown commit hash,cats,1.0
2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,m3bCphZ8J2,technology,0.4970778258550175,0.5212252088424163,954.39,517.08,cmh20rd26002dsa27jo124g0a,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh20rd26002dsa27jo124g0a,FSDS_ConceptMap_v01.netcanvas,2025-10-22T13:18:38.814Z,2025-10-22T13:21:10.341Z,2025-10-24T12:36:28.566Z,v3.0.0,Unknown commit hash,cats,1.0
3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,vXCsxVu5lG,privacy,0.6086064845000296,0.4399992422950882,1168.52,604.8,cmh20rd26002dsa27jo124g0a,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh20rd26002dsa27jo124g0a,FSDS_ConceptMap_v01.netcanvas,2025-10-22T13:18:38.814Z,2025-10-22T13:21:10.341Z,2025-10-24T12:36:28.566Z,v3.0.0,Unknown commit hash,cats,1.0
4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,KaMS6JqOHq,ethics,0.3855491672100053,0.4812183894982099,740.25,560.28,cmh20rd26002dsa27jo124g0a,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh20rd26002dsa27jo124g0a,FSDS_ConceptMap_v01.netcanvas,2025-10-22T13:18:38.814Z,2025-10-22T13:21:10.341Z,2025-10-24T12:36:28.566Z,v3.0.0,Unknown commit hash,cats,1.0
5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,RtJiUdZJi6,empirical data,0.4978365242131468,0.6618552404765964,955.85,365.2,cmh20rd26002dsa27jo124g0a,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh20rd26002dsa27jo124g0a,FSDS_ConceptMap_v01.netcanvas,2025-10-22T13:18:38.814Z,2025-10-22T13:21:10.341Z,2025-10-24T12:36:28.566Z,v3.0.0,Unknown commit hash,cats,1.0
6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,zfLP4gy4BA,analysis,0.6010195009187362,0.6230607489913054,1153.96,407.09,cmh20rd26002dsa27jo124g0a,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh20rd26002dsa27jo124g0a,FSDS_ConceptMap_v01.netcanvas,2025-10-22T13:18:38.814Z,2025-10-22T13:21:10.341Z,2025-10-24T12:36:28.566Z,v3.0.0,Unknown commit hash,cats,1.0
7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,N7PLUDZOj9,policy,0.3954122458656867,0.7697524199200622,759.19,248.67,cmh20rd26002dsa27jo124g0a,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh20rd26002dsa27jo124g0a,FSDS_ConceptMap_v01.netcanvas,2025-10-22T13:18:38.814Z,2025-10-22T13:21:10.341Z,2025-10-24T12:36:28.566Z,v3.0.0,Unknown commit hash,cats,1.0
8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WGBnkFwIuN,theory,0.5114930946594748,0.2157185883957493,982.07,847.02,cmh20rd26002dsa27jo124g0a,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh20rd26002dsa27jo124g0a,FSDS_ConceptMap_v01.netcanvas,2025-10-22T13:18:38.814Z,2025-10-22T13:21:10.341Z,2025-10-24T12:36:28.566Z,v3.0.0,Unknown commit hash,cats,1.0
9,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,FXe1ucLJSr,perspective,0.5661193764447869,0.7758140592146389,1086.95,242.12,cmh20rd26002dsa27jo124g0a,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh20rd26002dsa27jo124g0a,FSDS_ConceptMap_v01.netcanvas,2025-10-22T13:18:38.814Z,2025-10-22T13:21:10.341Z,2025-10-24T12:36:28.566Z,v3.0.0,Unknown commit hash,cats,1.0
10,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WAhTMmxJoA,knowledge,0.3650643115405133,0.2678486863291091,700.92,790.72,cmh20rd26002dsa27jo124g0a,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh20rd26002dsa27jo124g0a,FSDS_ConceptMap_v01.netcanvas,2025-10-22T13:18:38.814Z,2025-10-22T13:21:10.341Z,2025-10-24T12:36:28.566Z,v3.0.0,Unknown commit hash,cats,1.0
1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,m3bCphZ8J2,technology,0.4678896786465112,0.6281383894606175,898.35,401.61,cmh20pce1002asa27bbo97iav,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh20pce1002asa27bbo97iav,FSDS_ConceptMap_v01.netcanvas,2025-10-22T13:17:04.633Z,2025-10-22T13:21:51.635Z,2025-10-24T12:36:28.565Z,v3.0.0,Unknown commit hash,random,1.0
2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WGBnkFwIuN,theory,0.3581689858844729,0.5525367396788532,687.68,483.26,cmh20pce1002asa27bbo97iav,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh20pce1002asa27bbo97iav,FSDS_ConceptMap_v01.netcanvas,2025-10-22T13:17:04.633Z,2025-10-22T13:21:51.635Z,2025-10-24T12:36:28.565Z,v3.0.0,Unknown commit hash,random,1.0
3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ZuysvCGddv,AI,0.4943187506256883,0.4935930805269692,949.09,546.92,cmh20pce1002asa27bbo97iav,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh20pce1002asa27bbo97iav,FSDS_ConceptMap_v01.netcanvas,2025-10-22T13:17:04.633Z,2025-10-22T13:21:51.635Z,2025-10-24T12:36:28.565Z,v3.0.0,Unknown commit hash,random,1.0
4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,zfLP4gy4BA,analysis,0.5463760136149765,0.5230649101029111,1049.04,515.09,cmh20pce1002asa27bbo97iav,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh20pce1002asa27bbo97iav,FSDS_ConceptMap_v01.netcanvas,2025-10-22T13:17:04.633Z,2025-10-22T13:21:51.635Z,2025-10-24T12:36:28.565Z,v3.0.0,Unknown commit hash,random,1.0
5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,kojNKla2jv,context,0.4294473921313445,0.3372642453850158,824.54,715.75,cmh20pce1002asa27bbo97iav,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh20pce1002asa27bbo97iav,FSDS_ConceptMap_v01.netcanvas,2025-10-22T13:17:04.633Z,2025-10-22T13:21:51.635Z,2025-10-24T12:36:28.565Z,v3.0.0,Unknown commit hash,random,1.0
6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,fWLVVobTqz,culture,0.5471768945840424,0.2168141592920354,1050.58,845.84,cmh20pce1002asa27bbo97iav,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh20pce1002asa27bbo97iav,FSDS_ConceptMap_v01.netcanvas,2025-10-22T13:17:04.633Z,2025-10-22T13:21:51.635Z,2025-10-24T12:36:28.565Z,v3.0.0,Unknown commit hash,random,1.0
7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WAhTMmxJoA,knowledge,0.6601011112223446,0.368017458855564,1267.39,682.54,cmh20pce1002asa27bbo97iav,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh20pce1002asa27bbo97iav,FSDS_ConceptMap_v01.netcanvas,2025-10-22T13:17:04.633Z,2025-10-22T13:21:51.635Z,2025-10-24T12:36:28.565Z,v3.0.0,Unknown commit hash,random,1.0
8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,acTsAWfdzn,optimisation,0.6552958254079487,0.588415488727826,1258.17,444.51,cmh20pce1002asa27bbo97iav,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh20pce1002asa27bbo97iav,FSDS_ConceptMap_v01.netcanvas,2025-10-22T13:17:04.633Z,2025-10-22T13:21:51.635Z,2025-10-24T12:36:28.565Z,v3.0.0,Unknown commit hash,random,1.0
1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ZuysvCGddv,AI,0.5159395080808143,0.3498708127464757,990.6,702.14,cmh1w9kqc0011sa27sx6ud8sm,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh1w9kqc0011sa27sx6ud8sm,FSDS_ConceptMap_v01.netcanvas,2025-10-22T11:12:50.484Z,2025-10-22T11:19:39.269Z,2025-10-24T12:37:16.922Z,v3.0.0,Unknown commit hash,space,1.0
2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,zfLP4gy4BA,analysis,0.550377605225781,0.5021757853225148,1056.73,537.65,cmh1w9kqc0011sa27sx6ud8sm,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh1w9kqc0011sa27sx6ud8sm,FSDS_ConceptMap_v01.netcanvas,2025-10-22T11:12:50.484Z,2025-10-22T11:19:39.269Z,2025-10-24T12:37:16.922Z,v3.0.0,Unknown commit hash,space,1.0
3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,QUTNIZIDgY,change,0.3893995232225649,0.3658265717782512,747.65,684.91,cmh1w9kqc0011sa27sx6ud8sm,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh1w9kqc0011sa27sx6ud8sm,FSDS_ConceptMap_v01.netcanvas,2025-10-22T11:12:50.484Z,2025-10-22T11:19:39.269Z,2025-10-24T12:37:16.922Z,v3.0.0,Unknown commit hash,space,1.0
